GROUP;bdate;year.bdate;bday.count;city.id;city.title;amount.city;country.id;country.title;deactivated;last_seen.platform;last_seen.time;online;online_app;online_mobile;sex
1;5.8.1984;1984;287;123.0;Samara;136;1.0;Russia;;7.0;1530532904.0;0;;;1
1;6.3.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;7.0;1408284453.0;0;;;1
1;25.3.1984;1984;287;35.0;Velikiy Novgorod;166;1.0;Russia;;7.0;1546015133.0;0;;;1
1;19.9.1984;1984;287;427.0;Kherson;70;2.0;Ukraine;;7.0;1540540187.0;0;;;1
1;7.5.1984;1984;287;73.0;Krasnoyarsk;127;1.0;Russia;;7.0;1546098942.0;0;;;2
1;15.7.1984;1984;287;;;0;1.0;Russia;;4.0;1545760364.0;0;;;1
1;6.12.1984;1984;287;338.0;Novodvinsk;14;1.0;Russia;;2.0;1546107584.0;0;;;1
1;19.9.1984;1984;287;280.0;Kharkiv;296;2.0;Ukraine;;7.0;1388261596.0;0;;;2
1;2.2.1984;1984;287;74.0;Kurgan;23;1.0;Russia;;5.0;1546107309.0;0;;;2
1;25.11.1984;1984;287;13849.0;Pyalma;3;1.0;Russia;;7.0;1470757827.0;0;;;2
1;17.12.1984;1984;287;35.0;Velikiy Novgorod;166;1.0;Russia;;7.0;1362751499.0;0;;;2
1;2.12.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1545646290.0;0;;;2
1;17.12.1984;1984;287;112.0;Petrozavodsk;342;1.0;Russia;;1.0;1450372895.0;0;;;1
1;17.2.1984;1984;287;;;0;1.0;Russia;;4.0;1546109497.0;0;;;1
1;31.8.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;7.0;1398953342.0;0;;;2
1;20.8.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;7.0;1422541991.0;0;;;1
1;13.10.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;1.0;1469222822.0;0;;;1
1;18.10.1984;1984;287;334.0;Torzhok;6;1.0;Russia;;1.0;1546060858.0;0;;;1
1;5.12.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;7.0;1399203107.0;0;;;2
1;19.9.1984;1984;287;280.0;Kharkiv;296;2.0;Ukraine;;7.0;1401289381.0;0;;;2
